2024-03-21 07:26:29 - Learning Rate: 0.01, Top Relative Weight: 0.9, Purity Score: 0.6239316239316239
2024-03-21 07:28:01 - Learning Rate: 0.01, Top Relative Weight: 0.91, Purity Score: 0.5811965811965812
2024-03-21 07:31:51 - Learning Rate: 0.01, Top Relative Weight: 0.92, Purity Score: 0.5811965811965812
2024-03-21 07:34:08 - Learning Rate: 0.01, Top Relative Weight: 0.93, Purity Score: 0.6324786324786325
2024-03-21 07:36:23 - Learning Rate: 0.01, Top Relative Weight: 0.9400000000000001, Purity Score: 0.6324786324786325
2024-03-21 07:40:09 - Learning Rate: 0.01, Top Relative Weight: 0.95, Purity Score: 0.6239316239316239
2024-03-21 07:43:11 - Learning Rate: 0.01, Top Relative Weight: 0.96, Purity Score: 0.6581196581196581
2024-03-21 07:47:45 - Learning Rate: 0.01, Top Relative Weight: 0.97, Purity Score: 0.6153846153846154
2024-03-21 07:50:42 - Learning Rate: 0.01, Top Relative Weight: 0.98, Purity Score: 0.6153846153846154
2024-03-21 07:53:47 - Learning Rate: 0.01, Top Relative Weight: 0.99, Purity Score: 0.6239316239316239
2024-03-21 07:56:48 - Learning Rate: 0.020000000000000004, Top Relative Weight: 0.9, Purity Score: 0.6752136752136753
2024-03-21 08:00:33 - Learning Rate: 0.020000000000000004, Top Relative Weight: 0.91, Purity Score: 0.6068376068376068
2024-03-21 08:06:34 - Learning Rate: 0.020000000000000004, Top Relative Weight: 0.92, Purity Score: 0.6068376068376068
2024-03-21 08:08:06 - Learning Rate: 0.020000000000000004, Top Relative Weight: 0.93, Purity Score: 0.6752136752136753
2024-03-21 08:11:57 - Learning Rate: 0.020000000000000004, Top Relative Weight: 0.9400000000000001, Purity Score: 0.5982905982905983
2024-03-21 08:17:12 - Learning Rate: 0.020000000000000004, Top Relative Weight: 0.95, Purity Score: 0.6068376068376068
2024-03-21 08:20:18 - Learning Rate: 0.020000000000000004, Top Relative Weight: 0.96, Purity Score: 0.6068376068376068
2024-03-21 08:23:22 - Learning Rate: 0.020000000000000004, Top Relative Weight: 0.97, Purity Score: 0.5982905982905983
2024-03-21 08:27:09 - Learning Rate: 0.020000000000000004, Top Relative Weight: 0.98, Purity Score: 0.6153846153846154
2024-03-21 08:32:31 - Learning Rate: 0.020000000000000004, Top Relative Weight: 0.99, Purity Score: 0.5982905982905983
2024-03-21 08:34:02 - Learning Rate: 0.030000000000000006, Top Relative Weight: 0.9, Purity Score: 0.6239316239316239
2024-03-21 08:37:04 - Learning Rate: 0.030000000000000006, Top Relative Weight: 0.91, Purity Score: 0.6495726495726496
2024-03-21 08:38:37 - Learning Rate: 0.030000000000000006, Top Relative Weight: 0.92, Purity Score: 0.5897435897435898
2024-03-21 08:42:21 - Learning Rate: 0.030000000000000006, Top Relative Weight: 0.93, Purity Score: 0.5897435897435898
2024-03-21 08:45:22 - Learning Rate: 0.030000000000000006, Top Relative Weight: 0.9400000000000001, Purity Score: 0.6239316239316239
2024-03-21 08:49:11 - Learning Rate: 0.030000000000000006, Top Relative Weight: 0.95, Purity Score: 0.6068376068376068
2024-03-21 08:52:16 - Learning Rate: 0.030000000000000006, Top Relative Weight: 0.96, Purity Score: 0.6239316239316239
2024-03-21 08:55:21 - Learning Rate: 0.030000000000000006, Top Relative Weight: 0.97, Purity Score: 0.5897435897435898
2024-03-21 08:58:24 - Learning Rate: 0.030000000000000006, Top Relative Weight: 0.98, Purity Score: 0.6581196581196581
2024-03-21 09:02:59 - Learning Rate: 0.030000000000000006, Top Relative Weight: 0.99, Purity Score: 0.6068376068376068
2024-03-21 09:06:02 - Learning Rate: 0.04000000000000001, Top Relative Weight: 0.9, Purity Score: 0.6068376068376068
2024-03-21 09:09:46 - Learning Rate: 0.04000000000000001, Top Relative Weight: 0.91, Purity Score: 0.6495726495726496
2024-03-21 09:12:01 - Learning Rate: 0.04000000000000001, Top Relative Weight: 0.92, Purity Score: 0.5982905982905983
2024-03-21 09:15:48 - Learning Rate: 0.04000000000000001, Top Relative Weight: 0.93, Purity Score: 0.6068376068376068
2024-03-21 09:17:21 - Learning Rate: 0.04000000000000001, Top Relative Weight: 0.9400000000000001, Purity Score: 0.6068376068376068
2024-03-21 09:22:41 - Learning Rate: 0.04000000000000001, Top Relative Weight: 0.95, Purity Score: 0.6239316239316239
2024-03-21 09:26:30 - Learning Rate: 0.04000000000000001, Top Relative Weight: 0.96, Purity Score: 0.5897435897435898
2024-03-21 09:31:47 - Learning Rate: 0.04000000000000001, Top Relative Weight: 0.97, Purity Score: 0.5897435897435898
2024-03-21 09:37:11 - Learning Rate: 0.04000000000000001, Top Relative Weight: 0.98, Purity Score: 0.5982905982905983
2024-03-21 09:41:03 - Learning Rate: 0.04000000000000001, Top Relative Weight: 0.99, Purity Score: 0.5982905982905983
2024-03-21 09:44:41 - Learning Rate: 0.05000000000000001, Top Relative Weight: 0.9, Purity Score: 0.6068376068376068
2024-03-21 09:46:56 - Learning Rate: 0.05000000000000001, Top Relative Weight: 0.91, Purity Score: 0.6068376068376068
2024-03-21 09:50:42 - Learning Rate: 0.05000000000000001, Top Relative Weight: 0.92, Purity Score: 0.5897435897435898
2024-03-21 09:52:59 - Learning Rate: 0.05000000000000001, Top Relative Weight: 0.93, Purity Score: 0.6324786324786325
2024-03-21 09:55:16 - Learning Rate: 0.05000000000000001, Top Relative Weight: 0.9400000000000001, Purity Score: 0.6324786324786325
2024-03-21 09:57:34 - Learning Rate: 0.05000000000000001, Top Relative Weight: 0.95, Purity Score: 0.6410256410256411
2024-03-21 09:59:52 - Learning Rate: 0.05000000000000001, Top Relative Weight: 0.96, Purity Score: 0.5811965811965812
2024-03-21 10:03:41 - Learning Rate: 0.05000000000000001, Top Relative Weight: 0.97, Purity Score: 0.6153846153846154
2024-03-21 10:05:59 - Learning Rate: 0.05000000000000001, Top Relative Weight: 0.98, Purity Score: 0.6239316239316239
2024-03-21 10:09:48 - Learning Rate: 0.05000000000000001, Top Relative Weight: 0.99, Purity Score: 0.5897435897435898
2024-03-21 10:13:32 - Learning Rate: 0.06000000000000001, Top Relative Weight: 0.9, Purity Score: 0.6153846153846154
2024-03-21 10:19:34 - Learning Rate: 0.06000000000000001, Top Relative Weight: 0.91, Purity Score: 0.6581196581196581
2024-03-21 10:22:34 - Learning Rate: 0.06000000000000001, Top Relative Weight: 0.92, Purity Score: 0.6324786324786325
2024-03-21 10:24:51 - Learning Rate: 0.06000000000000001, Top Relative Weight: 0.93, Purity Score: 0.6239316239316239
2024-03-21 10:28:38 - Learning Rate: 0.06000000000000001, Top Relative Weight: 0.9400000000000001, Purity Score: 0.5982905982905983
2024-03-21 10:33:13 - Learning Rate: 0.06000000000000001, Top Relative Weight: 0.95, Purity Score: 0.6068376068376068
2024-03-21 10:35:29 - Learning Rate: 0.06000000000000001, Top Relative Weight: 0.96, Purity Score: 0.5982905982905983
2024-03-21 10:37:45 - Learning Rate: 0.06000000000000001, Top Relative Weight: 0.97, Purity Score: 0.6410256410256411
2024-03-21 10:42:22 - Learning Rate: 0.06000000000000001, Top Relative Weight: 0.98, Purity Score: 0.5897435897435898
2024-03-21 10:46:10 - Learning Rate: 0.06000000000000001, Top Relative Weight: 0.99, Purity Score: 0.6239316239316239
2024-03-21 10:47:39 - Learning Rate: 0.07, Top Relative Weight: 0.9, Purity Score: 0.5897435897435898
2024-03-21 10:54:34 - Learning Rate: 0.07, Top Relative Weight: 0.91, Purity Score: 0.6495726495726496
2024-03-21 10:56:52 - Learning Rate: 0.07, Top Relative Weight: 0.92, Purity Score: 0.6153846153846154
2024-03-21 10:58:24 - Learning Rate: 0.07, Top Relative Weight: 0.93, Purity Score: 0.6068376068376068
2024-03-21 11:01:27 - Learning Rate: 0.07, Top Relative Weight: 0.9400000000000001, Purity Score: 0.6239316239316239
2024-03-21 11:03:00 - Learning Rate: 0.07, Top Relative Weight: 0.95, Purity Score: 0.6153846153846154
2024-03-21 11:06:04 - Learning Rate: 0.07, Top Relative Weight: 0.96, Purity Score: 0.6324786324786325
2024-03-21 11:11:22 - Learning Rate: 0.07, Top Relative Weight: 0.97, Purity Score: 0.5897435897435898
2024-03-21 11:13:41 - Learning Rate: 0.07, Top Relative Weight: 0.98, Purity Score: 0.6239316239316239
2024-03-21 11:19:49 - Learning Rate: 0.07, Top Relative Weight: 0.99, Purity Score: 0.5726495726495726
2024-03-21 11:21:21 - Learning Rate: 0.08, Top Relative Weight: 0.9, Purity Score: 0.6324786324786325
2024-03-21 11:23:40 - Learning Rate: 0.08, Top Relative Weight: 0.91, Purity Score: 0.6153846153846154
2024-03-21 11:25:11 - Learning Rate: 0.08, Top Relative Weight: 0.92, Purity Score: 0.6410256410256411
2024-03-21 11:27:26 - Learning Rate: 0.08, Top Relative Weight: 0.93, Purity Score: 0.6239316239316239
2024-03-21 11:30:31 - Learning Rate: 0.08, Top Relative Weight: 0.9400000000000001, Purity Score: 0.5982905982905983
2024-03-21 11:32:48 - Learning Rate: 0.08, Top Relative Weight: 0.95, Purity Score: 0.6495726495726496
2024-03-21 11:36:37 - Learning Rate: 0.08, Top Relative Weight: 0.96, Purity Score: 0.6239316239316239
2024-03-21 11:42:38 - Learning Rate: 0.08, Top Relative Weight: 0.97, Purity Score: 0.6068376068376068
